author,region,state,tot_nymph,bm_pos,bm_prev,bb_pos,bb_prev,diff,lifestage,
Barbour ,northeast,CT,689,38,5.52,244,35.41,29.90,nymph,
Barbour ,northeast,MA,159,4,2.50,22,13.80,11.30,nymph,
Barbour ,midatlantic,MD,474,10,2.10,84,17.70,15.60,nymph,
Barbour ,northeast,ME,188,1,0.53,83,44.16,43.63,nymph,
Barbour ,northeast,NJ,109,2,1.83,18,16.51,14.68,nymph,
Barbour ,northeast,NY,1320,25,1.89,280,21.21,19.32,nymph,
Barbour ,northeast,PA,297,7,2.42,126,42.44,40.01,nymph,
Barbour ,northeast,RI,94,1,1.10,22,23.40,22.30,nymph,
Barbour ,midatlantic,VA,173,6,3.50,30,17.30,13.80,nymph,
Barbour ,midwest,IA,89,1,1.12,17,19.10,17.98,nymph,
Barbour ,midwest,IL,182,3,1.65,23,12.64,10.99,nymph,
Barbour ,midwest,IN,109,6,5.50,11,10.10,4.60,nymph,
Barbour ,midwest,MI,244,1,0.41,36,14.75,14.34,nymph,
Barbour ,midwest,MN,983,20,2.07,316,32.12,30.05,nymph,
Barbour ,midwest,WI,2529,53,2.09,426,16.84,14.75,nymph,
Fedorova,westcoast,CA,2890,11.0,0.4,189.0,6.54,6.14,nymph,
Xu,westcoast,CA,302,3.0,0.99,4.0,1.32,0.33,nymph,
Xu,westcoast,OR,48,1.0,2.08,1.0,2.08,0.00,nymph,
Padgett,westcoast,CA,1012,14.0,1.38,14.0,1.38,0.00,nymph,
Scoles,northeast,RI,182,3,1.65,45,24.73,23.08,nymph,
Scoles,northeast,CT,168,4,2.38,32,19.05,16.67,nymph,
Scoles,northeast,NY,160,4,2.50,17,10.63,8.13,nymph,
Scoles,northeast,NJ,202,4,1.98,18,8.91,6.93,nymph,
Lynn,westcoast,CA,3255,44.0,1.35,159,4.9,3.55,nymph,
Salkeld,westcoast,CA,349,13.0,3.7,7.0,2,1.70,nymph,
Ullman,northeast,NJ,250,7.0,2.8,35.0,14,11.20,nymph,
Fedorova,westcoast,CA,3070,13,0.4,29,0.9,0.5,adult,
Padgett,westcoast,CA,1527,27,1.77,17,1.11,-0.66,adult,
Hamer,midwest,MN,61,0,0.00,52,85.25,85.25,adult,
Hamer,midwest,IL,185,4,2.16,86,46.49,44.33,adult,
Hamer,midwest,WI,622,25,4.02,309,49.68,45.66036977,adult,
Hamer,midwest,MI,332,1,0.30,173,52.11,51.80722892,adult,
Hamer,midwest,IN,297,4,1.35,146,49.16,47.81144781,adult,
Hamer,midwest,IL,253,4,1.58,123,48.62,47.03557312,adult,
Salkeld,westcoast,CA,273,2,0.7,5,1.8,1.1,adult,
